Noun	CountThat	CountBare	CILower	CIUpper	Conditional	Group	InMaze
report	341	43296	-4.9526083781376	-4.73823640380989	-4.843933053687	CLAIM	bold
story	1535	165827	-4.73285664479665	-4.63261789058752	-4.68241469520731	CLAIM	bold
admission	38	3821	-4.95514696025511	-4.29584695905645	-4.61068128772051	FACT	bold
complaint	79	4901	-4.35972381513354	-3.90956102711597	-4.12774669244253	ACCUSATION	bold
truth	479	27900	-4.15557684355059	-3.97592727148847	-4.06468137039854	FACT	bold
assessment	67	3535	-4.21868450273913	-3.72935594370044	-3.96577595893971	CLAIM	bold
declaration	145	7394	-4.09998669925398	-3.77075569064283	-3.931690397076	CLAIM	bold
guess	6	215	-4.57475819113558	-2.81760137776899	-3.57887855889961	CLAIM	plain
disclosure	39	1364	-3.89176621640687	-3.24725135942701	-3.55461519227376	FACT	bold
remark	126	3902	-3.61306173855532	-3.26158295752403	-3.43296261423158	CLAIM	bold
confirmation	57	1751	-3.69907086277069	-3.17075070105458	-3.4248910644513	CLAIM	bold
myth	451	12193	-3.39000849334482	-3.20665541388804	-3.29714995605759	CLAIM	plain
news	2860	70926	-3.24707552602239	-3.17492054834503	-3.21081545516453	CLAIM	bold
allegation	447	9273	-3.12508049857873	-2.94196186347081	-3.03230363618666	ACCUSATION	plain
information	1338	26465	-3.03763173615412	-2.93246455206269	-2.98464714360392	CLAIM	plain
evidence	897	16620	-2.98411942594093	-2.85570353659482	-2.91930620635064	CLAIM	plain
prediction	130	2312	-3.05358457332376	-2.71189042457013	-2.87833377933669	CLAIM	plain
finding	489	8645	-2.96061300780562	-2.78639018600213	-2.87237390864252	CLAIM	plain
proof	263	4602	-2.98347577380372	-2.74496950465637	-2.86209223841755	FACT	bold
accusation	351	5684	-2.88897906597115	-2.68346416370401	-2.78462426575113	ACCUSATION	plain
message	987	15329	-2.80424209721265	-2.68254060519832	-2.74283169873263	CLAIM	bold
recognition	433	6349	-2.77869356177388	-2.5945428505265	-2.68531487116796	FACT	plain
indication	44	639	-2.98628926089597	-2.39318336930994	-2.67571482045927	CLAIM	plain
concern	395	5501	-2.73151507784912	-2.53896498945016	-2.63379940797434	CLAIM	plain
reminder	20	260	-3.04454582646954	-2.15155864527586	-2.56494935746154	FACT	plain
announcement	1280	14960	-2.51174310646301	-2.4061891671207	-2.45851989461481	CLAIM	bold
rumor	253	2951	-2.57863550185801	-2.33904209813873	-2.45650988621542	CLAIM	plain
statement	1202	11760	-2.33518716749064	-2.22722540019248	-2.28071710635746	CLAIM	bold
thought	643	5918	-2.2942925281332	-2.14679132664696	-2.21960910872254	CLAIM	plain
conviction	564	4989	-2.25962041848207	-2.10239984831985	-2.17993651636298	CLAIM	plain
conjecture	128	1042	-2.26801667253185	-1.93570617120832	-2.0968669583937	CLAIM	plain
feeling	876	6727	-2.10155330183676	-1.97689479590022	-2.03851846708921	CLAIM	plain
idea	16821	122819	-2.00218872576977	-1.97405116137304	-1.98808362106204	CLAIM	plain
claim	3736	22247	-1.81374813529961	-1.75498090660244	-1.7841916476944	CLAIM	plain
conclusion	5430	31874	-1.79428928664523	-1.74565191247591	-1.7698514964916	CLAIM	bold
view	6794	39315	-1.77736183807153	-1.73396153366829	-1.75556625570509	CLAIM	plain
speculation	149	845	-1.88909470377667	-1.59093861644284	-1.73539032141171	CLAIM	plain
certainty	86	477	-1.9185604266196	-1.52422425243362	-1.71316919463483	FACT	plain
suggestion	1542	8183	-1.71470174602656	-1.62412549905909	-1.66897855640411	CLAIM	bold
perception	983	4858	-1.65481248525168	-1.54213338735007	-1.59777298941495	CLAIM	plain
intuition	82	404	-1.80295124866086	-1.404280466048	-1.5946956306969	CLAIM	bold
observation	1405	6558	-1.58785043628444	-1.49443832092117	-1.54064837563675	FACT	plain
suspicion	378	1694	-1.59203142994539	-1.411681924845	-1.49995367959241	ACCUSATION	bold
revelation	1016	4446	-1.53133413475285	-1.42233338237027	-1.47613146638571	FACT	plain
understanding	1707	7383	-1.50674703755852	-1.42297261939572	-1.46444261626472	FACT	plain
insinuation	26	99	-1.71884900692396	-1.01978576488084	-1.33702331211311	CLAIM	plain
notion	4859	17761	-1.32039378154372	-1.27225894183112	-1.29617238686142	CLAIM	bold
opinion	3196	11171	-1.28110903437203	-1.22221024982728	-1.25142110668468	CLAIM	bold
sense	5008	16793	-1.23338102390813	-1.18677834971248	-1.20992549911507	CLAIM	bold
presumption	323	1063	-1.28621930708941	-1.10114231730376	-1.19119805511929	CLAIM	plain
assurance	235	705	-1.20869610577124	-0.995651936425361	-1.09861228866811	CLAIM	bold
realization	1330	3605	-1.04085107344323	-0.954712212674915	-0.997142828503249	FACT	bold
impression	3745	8482	-0.841836893566103	-0.793700597743305	-0.817524654083217	CLAIM	bold
assertion	911	2011	-0.841448870407077	-0.744296006278638	-0.791844492512694	CLAIM	bold
contention	332	686	-0.807486355947411	-0.649913727071231	-0.725742658809397	CLAIM	bold
assumption	4564	8583	-0.651765837595058	-0.611841324412344	-0.631584070736254	CLAIM	bold
belief	8089	13264	-0.508355383962401	-0.481007627107881	-0.494548484357123	CLAIM	bold
fact	96701	143115	-0.395631004135046	-0.388441971617724	-0.392024759204507	FACT	bold
